name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
root	1	no rank	0	243	87	0.0
Bacteria	2	superkingdom	0	733	144	0.0
Azorhizobium	6	genus	0	2	0	0.0
Azorhizobium caulinodans	7	species	35321	10	0	0.0
Buchnera aphidicola	9	species	1511436	51	33	0.0
Cellvibrio	10	genus	0	1	0	0.0
Dictyoglomus	13	genus	0	1	0	0.0
Methylophilus	16	genus	0	1	0	0.0
Methylophilus methylotrophus	17	species	76532	3	2	0.0
Pelobacter	18	genus	0	5	0	0.0
Pelobacter carbinolicus	19	species	4914	2	0	0.0
Phenylobacterium	20	genus	0	4	0	0.0
Shewanella	22	genus	0	22	0	0.0
Shewanella putrefaciens	24	species	347065	5	0	0.0
Myxococcales	29	order	0	77	0	0.0
Myxococcaceae	31	family	0	13	0	0.0
Myxococcus	32	genus	0	20	0	0.0
Myxococcus fulvus	33	species	281935	18	0	0.0
Myxococcus xanthus	34	species	1434373	22	3	0.0
Myxococcus macrosporus	35	species	73732	4	0	0.0
Archangium disciforme	38	species	128005	3	0	0.0
Archangiaceae	39	family	0	10	0	0.0
Stigmatella aurantiaca	41	species	172622	9	0	0.0
Cystobacter	42	genus	0	2	0	0.0
Cystobacter fuscus	43	species	12499660	217	108	0.0
Melittangium	44	genus	0	2	0	0.0
Archangium	47	genus	0	2	0	0.0
Archangium gephyra	48	species	12513146	213	129	0.0
Polyangiaceae	49	family	0	2	0	0.0
Chondromyces	50	genus	0	1	0	0.0
Chondromyces crocatus	52	species	11778529	129	93	0.0
Sorangium cellulosum	56	species	1788714	11	5	0.0
Vitreoscilla	59	genus	0	22	0	0.0
Vitreoscilla filiformis	63	species	3789124	433	259	0.0
Lysobacter	68	genus	0	31	0	0.0
Lysobacter enzymogenes	69	species	12580679	634	273	0.0
Caulobacter	75	genus	0	9	0	0.0
Hyphomicrobium	81	genus	0	4	0	0.0
Hyphomonas	85	genus	0	4	0	0.0
Leptothrix	88	genus	0	89	0	0.0
Gallionella	96	genus	0	5	0	0.0
Flectobacillus	101	genus	0	1	0	0.0
Planctomycetales	112	order	0	15	0	0.0
Planctomyces	118	genus	0	2	0	0.0
Pirellula staleyi	125	species	5273	1	0	0.0
Planctomycetaceae	126	family	1491	3	0	0.0
Isosphaera	127	genus	0	3	0	0.0
Isosphaera pallida	128	species	3093	1	0	0.0
Methylocystis	133	genus	0	4	0	0.0
Spirochaetales	136	order	0	5	0	0.0
Spirochaetaceae	137	family	17095	5	0	0.0
Borrelia	138	genus	0	2	1	0.0
Borreliella burgdorferi	139	species	9661107	30	6	0.0
Borrelia hermsii	140	species	2215486	42	9	0.0
Borrelia parkeri	141	species	32116	3	0	0.0
Borrelia turicatae	142	species	1419778	17	0	0.0
Borrelia anserina	143	species	14360	5	0	0.0
Borrelia coriaceae	144	species	16439	1	0	0.0
Spirochaeta	146	genus	0	1	0	0.0
Spirochaeta thermophila	154	species	3895	1	0	0.0
Treponema	157	genus	0	243	0	0.0
Treponema denticola	158	species	421844	9	0	0.0
Brachyspira hyodysenteriae	159	species	3412921	79	3	0.0
Treponema pallidum	160	species	277332	8	3	0.0
Treponema succinifaciens	167	species	3041	61	0	0.0
Leptospira	171	genus	351	1	0	0.0
Leptospira interrogans	173	species	5402254	46	22	0.0
Leptospira borgpetersenii	174	species	262108	16	2	0.0
Leptospirillum ferrooxidans	180	species	475470	5	2	0.0
Aquaspirillum	187	genus	0	7	0	0.0
Aquaspirillum serpens	190	species	13117	1	1	0.0
Azospirillum	191	genus	0	42	0	0.0
Azospirillum brasilense	192	species	14768781	590	197	0.0
Azospirillum lipoferum	193	species	155226	37	1	0.0
Campylobacter	194	genus	0	41	6	0.0
Campylobacter coli	195	species	33745666	467	77	5.29677e-06
Campylobacter fetus	196	species	231951	18	9	0.0
Campylobacter jejuni	197	species	149104840	343	81	0
Campylobacter hyointestinalis	198	species	103407	1	0	0.0
Campylobacter concisus	199	species	2313426	57537	57005	0.00510088
Campylobacter curvus	200	species	23777	12	0	0.0
Campylobacter lari	201	species	2219930	51	10	0.0
Campylobacter mucosalis	202	species	15466	1	0	0.0
Campylobacter rectus	203	species	69540	1	1	0.0
Campylobacter showae	204	species	73992	48	4	0.0
Campylobacter sp.	205	species	92526	2	0	0.0
Campylobacter sputorum	206	species	1719642	57	9	0.0
Helicobacter	209	genus	0	3	0	0.0
Helicobacter pylori	210	species	125372322	121	62	0.0
Helicobacter acinonychis	212	species	1944571	12	1	0.0
Helicobacter cinaedi	213	species	2407214	5	0	0.0
Helicobacter felis	214	species	207218	1	0	0.0
Helicobacter fennelliae	215	species	42561	1	0	0.0
Helicobacter mustelae	217	species	39705	1	0	0.0
Achromobacter	222	genus	0	541	1	0.0
Achromobacter lyticus	224	species	3934	1	0	0.0
Alteromonas	226	genus	2057	8	0	0.0
Pseudoalteromonas carrageenovora	227	species	42872	1	0	0.0
Alteromonas sp.	232	species	390406	2	1	0.0
Brucella	234	genus	0	101	44	0.0
Brucella abortus	235	species	101262887	9	4	0.0
Elizabethkingia meningoseptica	238	species	11983870	166	12	0.0
Flavobacterium sp.	239	species	567422	6	3	0.0
Chryseobacterium gleum	250	species	39633	1	0	0.0
Chryseobacterium indologenes	253	species	15493344	134	44	0.0
Sphingobacterium spiritivorum	258	species	27683	3	2	0.0
Francisella	262	genus	0	5	0	0.0
Francisella tularensis	263	species	5779638	79	31	0.0
Francisella tularensis subsp. novicida	264	subspecies	6008911	18	7	0.0
Paracoccus	265	genus	0	35	0	0.0
Paracoccus denitrificans	266	species	230518	22	0	0.0
Thermus	270	genus	0	6	0	0.0
Thermus aquaticus	271	species	172161	3	1	0.0
Thermus thermophilus	274	species	2368104	24	2	0.0
Meiothermus ruber	277	species	37505	1	0	0.0
Xanthobacter	279	genus	0	2	0	0.0
Xanthobacter autotrophicus	280	species	125349	7	1	0.0
Xanthobacter flavus	281	species	102080	1	0	0.0
Comamonas	283	genus	0	47	0	0.0
Comamonas testosteroni	285	species	979275	198	1	0.0
Pseudomonas	286	genus	3949	1621	361	0.0
Pseudomonas aeruginosa	287	species	649285640	2107	854	0.0
Pseudoalteromonas atlantica	288	species	3723676	9	1	0.0
Burkholderia cepacia	292	species	48530198	832	66	0.0
Brevundimonas diminuta	293	species	3739908	119	60	0.0
Pseudomonas fluorescens	294	species	109413009	1485	311	0.0
Pseudomonas fragi	296	species	20915684	480	95	0.0
Pseudomonas mendocina	300	species	5603789	395	114	0.0
Pseudomonas oleovorans	301	species	109873	1	0	0.0
Pseudomonas putida	303	species	75633305	1852	431	0.0
Ralstonia solanacearum	305	species	135542539	4144	717	0.0
Pseudomonas sp.	306	species	5185727	8	2	0.0
Pseudomonas stutzeri	316	species	26332943	891	242	0.0
Pseudomonas syringae	317	species	13963156	355	42	0.0
Pseudomonas savastanoi pv. phaseolicola	319	leaf	471168	3	0	0.0
Pseudomonas syringae pv. syringae	321	leaf	13544033	167	23	0.0
Pseudomonas amygdali pv. tabaci	322	leaf	276457	1	0	0.0
Ralstonia pickettii	329	species	5820311	858	181	0.0
Pseudomonas pseudoalcaligenes	330	species	5110416	198	0	0.0
Burkholderia glumae	337	species	189403	108	0	0.0
Xanthomonas	338	genus	0	328	44	0.0
Xanthomonas campestris	339	species	5748741	426	147	0.0
Xanthomonas campestris pv. campestris	340	leaf	25575595	133	2	0.0
Xanthomonas translucens	343	species	57967	25	0	0.0
Xanthomonas citri	346	species	160527	306	21	0.0
Xanthomonas oryzae	347	species	180828	258	129	0.0
Zoogloea ramigera	350	species	27166	1	0	0.0
Azotobacter	352	genus	0	12	0	0.0
Azotobacter chroococcum	353	species	5286988	373	108	0.0
Azotobacter vinelandii	354	species	432334	166	8	0.0
Rhizobiales	356	order	2751	216	0	0.0
Agrobacterium	357	genus	0	10	0	0.0
Agrobacterium tumefaciens	358	species	14810155	176	24	0.0
Agrobacterium rhizogenes	359	species	5919489	94	37	0.0
Agrobacterium vitis	373	species	489899	4	1	0.0
Bradyrhizobium	374	genus	0	87	2	0.0
Bradyrhizobium japonicum	375	species	21849638	219	28	0.0
Bradyrhizobium sp.	376	species	18265399	163	46	0.0
Rhizobium	379	genus	0	180	64	0.0
Sinorhizobium fredii	380	species	513617	27	1	0.0
Mesorhizobium loti	381	species	8952411	148	55	0.0
Sinorhizobium meliloti	382	species	99677973	417	133	0.0
Rhizobium leguminosarum	384	species	26282616	367	101	0.0
Rhizobium leguminosarum bv. trifolii	386	leaf	7268077	71	7	0.0
Rhizobium leguminosarum bv. viciae	387	leaf	16367791	182	39	0.0
Rhizobium sp.	391	species	1310553	10	5	0.0
Sinorhizobium fredii NGR234	394	leaf	7630832	76	26	0.0
Rhizobium phaseoli	396	species	87953609	173	16	0.0
Rhizobium tropici	398	species	331406	3	0	0.0
Neorhizobium galegae	399	species	407666	10	1	0.0
Methylococcaceae	403	family	0	12	0	0.0
Methylobacillus	404	genus	0	9	0	0.0
Methylobacillus flagellatus	405	species	37124	19	5	0.0
Methylobacterium	407	genus	0	65	1	0.0
Methylobacterium extorquens	408	species	11509689	188	41	0.0
Methylococcus	413	genus	0	3	0	0.0
Methylococcus capsulatus	414	species	26993	3	0	0.0
Methylomonas	416	genus	0	8	0	0.0
Methylomonas methanica	421	species	18481	9	0	0.0
Methylosinus trichosporium	426	species	61958	3	0	0.0
Acetobacteraceae	433	family	0	34	0	0.0
Acetobacter	434	genus	0	4	0	0.0
Acetobacter aceti	435	species	3847909	54	38	0.0
Acetobacter pasteurianus	438	species	6698009	72	18	0.0
Gluconobacter	441	genus	0	2	1	0.0
Gluconobacter oxydans	442	species	3882056	49	20	0.0
Legionellaceae	444	family	0	3	0	0.0
Legionella	445	genus	0	2	0	0.0
Legionella pneumophila	446	species	157586004	96	24	0.0
Legionella hackeliae	449	species	3582649	26	22	0.0
Legionella longbeachae	450	species	4322278	30	0	0.0
Tatlockia micdadei	451	species	9869685	68	20	0.0
Legionella spiritensis	452	species	3366611	19	13	0.0
Legionella jordanis	456	species	15235	1	0	0.0
Legionella steigerwaltii	460	species	8533	4	3	0.0
Fluoribacter dumoffii	463	species	26282	2	0	0.0
Fluoribacter gormanii	464	species	24781	1	0	0.0
Moraxellaceae	468	family	0	7	0	0.0
Acinetobacter	469	genus	0	34	2	0.0
Acinetobacter baumannii	470	species	313167375	289	131	0.0
Acinetobacter calcoaceticus	471	species	9333487	36	10	0.0
Moraxella	475	genus	0	4	0	0.0
Moraxella lacunata	477	species	28675	1	0	0.0
Moraxella catarrhalis	480	species	6411731	36	4	0.0
Neisseriaceae	481	family	0	45	0	0.0
Neisseria	482	genus	0	57	0	0.0
Neisseria cinerea	483	species	92017	1	0	0.0
Neisseria gonorrhoeae	485	species	59898980	128	26	0.0
Neisseria lactamica	486	species	2506977	81	8	0.0
Neisseria meningitidis	487	species	154077990	341	61	0.0
Neisseria polysaccharea	489	species	60026	31	0	0.0
Neisseria sicca	490	species	2872703	247	181	0.0
Neisseria animalis	492	species	15890	8	0	0.0
Neisseria canis	493	species	34170	9	1	0.0
Neisseria elongata	495	species	40529	4	0	0.0
Psychrobacter	497	genus	0	9	0	0.0
Thermomicrobium roseum	500	species	17760	3	0	0.0
Kingella kingae	504	species	2456010	17	12	0.0
Alcaligenaceae	506	family	0	258	0	0.0
Alcaligenes	507	genus	974	8	0	0.0
Alcaligenes faecalis	511	species	21910726	1036	243	0.0
Bordetella	517	genus	0	612	4	0.0
