# git tag version 2.5.1 |  motus version 2.5.1 | map_tax 2.5.1 | gene database: nr2.5.1 | calc_mgc 2.5.1 -y insert.scaled_counts -l 75 | calc_motu 2.5.1 -k mOTU -C no_CAMI -g 3 -p | taxonomy: ref_mOTU_2.5.1 meta_mOTU_2.5.1
# call: python /home/gene/sunzheng/tools/mOTUs_v2-master/motus profile -f /mnt/5-ds60t/sunzheng/zm/QIBEBT/2B-RAD/P3/software_test_2020.1220/data/sample1.left.fq.gz -r /mnt/5-ds60t/sunzheng/zm/QIBEBT/2B-RAD/P3/software_test_2020.1220/data/sample1.right.fq.gz -p -t 8 -o mOTUs2/Gut1_mOTUs2.txt
#consensus_taxonomy	NCBI_tax_id	unnamed sample
Leptospira alexanderi [ref_mOTU_v25_00001]	100053	0.0000000000
Leptospira weilii [ref_mOTU_v25_00002]	28184	0.0000000000
Chryseobacterium sp. [ref_mOTU_v25_00004]	NA	0.0000000000
Chryseobacterium gallinarum [ref_mOTU_v25_00005]	1324352	0.0000000000
Chryseobacterium indologenes [ref_mOTU_v25_00006]	253	0.0000000000
Chryseobacterium artocarpi/ureilyticum [ref_mOTU_v25_00007]	NA	0.0000000000
Chryseobacterium jejuense [ref_mOTU_v25_00008]	445960	0.0000000000
Chryseobacterium sp. G972 [ref_mOTU_v25_00009]	1805473	0.0000000000
Chryseobacterium contaminans [ref_mOTU_v25_00010]	1423959	0.0000000000
Chryseobacterium indologenes [ref_mOTU_v25_00011]	253	0.0000000000
Chryseobacterium arthrosphaerae [ref_mOTU_v25_00012]	651561	0.0000000000
Chryseobacterium sp. [ref_mOTU_v25_00013]	NA	0.0000000000
Chryseobacterium sp. YR459 [ref_mOTU_v25_00014]	1500292	0.0000000000
Chryseobacterium cucumeris/indologenes [ref_mOTU_v25_00015]	NA	0.0000000000
Chryseobacterium sp. YR477 [ref_mOTU_v25_00016]	1500295	0.0000000000
Chryseobacterium sp. RU33C [ref_mOTU_v25_00017]	1907398	0.0000000000
Chryseobacterium gleum [ref_mOTU_v25_00018]	250	0.0000000000
Chryseobacterium culicis [ref_mOTU_v25_00019]	680127	0.0000000000
Chryseobacterium joostei [ref_mOTU_v25_00020]	112234	0.0000000000
Komagataeibacter xylinus/hansenii [ref_mOTU_v25_00021]	NA	0.0000000000
Proteobacteria sp. [ref_mOTU_v25_00022]	NA	0.0000000000
Sphingomonas sanguinis [ref_mOTU_v25_00023]	33051	0.0000000000
Sphingomonas parapaucimobilis [ref_mOTU_v25_00024]	28213	0.0000000000
Sphingomonas yabuuchiae [ref_mOTU_v25_00025]	172044	0.0000000000
Vibrio natriegens [ref_mOTU_v25_00026]	691	0.0000000000
Vibrio sp. [ref_mOTU_v25_00027]	NA	0.0000000000
Vibrio parahaemolyticus [ref_mOTU_v25_00028]	670	0.0000000000
Vibrio sp. [ref_mOTU_v25_00029]	NA	0.0000000000
Vibrio mytili [ref_mOTU_v25_00030]	50718	0.0000000000
Vibrio azureus [ref_mOTU_v25_00031]	512649	0.0000000000
Vibrio nereis [ref_mOTU_v25_00032]	693	0.0000000000
Vibrio hepatarius [ref_mOTU_v25_00033]	171383	0.0000000000
Vibrio coralliilyticus [ref_mOTU_v25_00034]	190893	0.0000000000
Vibrio neptunius [ref_mOTU_v25_00035]	170651	0.0000000000
Vibrio sp. [ref_mOTU_v25_00036]	NA	0.0000000000
Vibrio sinaloensis [ref_mOTU_v25_00037]	379097	0.0000000000
Vibrio orientalis [ref_mOTU_v25_00038]	28175	0.0000000000
Vibrio tubiashii [ref_mOTU_v25_00039]	29498	0.0000000000
Vibrio bivalvicida [ref_mOTU_v25_00040]	1276888	0.0000000000
Vibrio tubiashii [ref_mOTU_v25_00041]	29498	0.0000000000
Vibrio brasiliensis [ref_mOTU_v25_00042]	170652	0.0000000000
Vibrio galatheae [ref_mOTU_v25_00043]	579748	0.0000000000
Vibrio pacinii [ref_mOTU_v25_00044]	170674	0.0000000000
Aeromonas bivalvium [ref_mOTU_v25_00045]	440079	0.0000000000
Aeromonas rivuli [ref_mOTU_v25_00046]	648794	0.0000000000
Aeromonas aquatica/eucrenophila [ref_mOTU_v25_00047]	NA	0.0000000000
Aeromonas tecta/encheleia [ref_mOTU_v25_00048]	NA	0.0000000000
Aeromonas hydrophila/media [ref_mOTU_v25_00049]	NA	0.0000000000
Aeromonas sp. [ref_mOTU_v25_00050]	NA	0.0000000000
Aeromonas lacus/jandaei [ref_mOTU_v25_00051]	NA	0.0000000000
Aeromonas sp. [ref_mOTU_v25_00052]	NA	0.0000000000
Aeromonas enteropelogenes [ref_mOTU_v25_00053]	29489	0.0000000000
Aeromonas sp. [ref_mOTU_v25_00054]	NA	0.0000000000
Aeromonas sobria [ref_mOTU_v25_00055]	646	0.0000000000
Aeromonas sp. [ref_mOTU_v25_00056]	NA	0.0000000000
Franconibacter helveticus [ref_mOTU_v25_00057]	357240	0.0000000000
Franconibacter pulveris [ref_mOTU_v25_00058]	435910	0.0000000000
Cronobacter condimenti [ref_mOTU_v25_00059]	1163710	0.0000000000
Cronobacter sp. [ref_mOTU_v25_00060]	NA	0.0000000000
Cronobacter dublinensis/muytjensii [ref_mOTU_v25_00061]	NA	0.0000000000
Kluyvera intermedia [ref_mOTU_v25_00062]	61648	0.0000000000
Enterobacteriaceae sp. [ref_mOTU_v25_00063]	NA	0.0000000000
Kosakonia oryzendophytica [ref_mOTU_v25_00064]	1005665	0.0000000000
Kosakonia sp. [ref_mOTU_v25_00065]	NA	0.0000000000
Kosakonia sacchari/oryzae [ref_mOTU_v25_00066]	NA	0.0000000000
Enterobacter sp. Bisph1 [ref_mOTU_v25_00067]	1274399	0.0000000000
Enterobacter kobei [ref_mOTU_v25_00068]	208224	0.0000000000
Enterobacter sp. kpr-6 [ref_mOTU_v25_00069]	1761782	0.0000000000
Pseudescherichia vulneris [ref_mOTU_v25_00070]	566	0.0000000000
Lelliottia amnigena [ref_mOTU_v25_00071]	61646	0.0000000000
Leclercia adecarboxylata [ref_mOTU_v25_00072]	83655	0.0000000000
Leclercia adecarboxylata [ref_mOTU_v25_00073]	83655	0.0000000000
Enterobacter cloacae [ref_mOTU_v25_00074]	550	0.0000000000
Enterobacter asburiae/soli [ref_mOTU_v25_00075]	NA	0.0000000000
Enterobacter cancerogenus [ref_mOTU_v25_00076]	69218	0.0000000000
Bacteria sp. [ref_mOTU_v25_00077]	NA	0.0000000000
Enterobacter timonensis [ref_mOTU_v25_00078]	1755099	0.0000000000
Lelliottia amnigena [ref_mOTU_v25_00079]	61646	0.0000000000
Pluralibacter gergoviae [ref_mOTU_v25_00080]	61647	0.0000000000
Yokenella regensburgei [ref_mOTU_v25_00081]	158877	0.0000000000
Trabulsiella guamensis/odontotermitis [ref_mOTU_v25_00082]	NA	0.0000000000
[Enterobacter] lignolyticus [ref_mOTU_v25_00083]	1334193	0.0000000000
Enterobacteriaceae sp. [ref_mOTU_v25_00084]	NA	0.0000000000
Enterobacterales sp. [ref_mOTU_v25_00085]	NA	0.0000000000
Klebsiella michiganensis/oxytoca [ref_mOTU_v25_00086]	NA	0.0000000000
Enterobacteriaceae sp. [ref_mOTU_v25_00087]	NA	0.0000000000
Raoultella ornithinolytica/terrigena [ref_mOTU_v25_00088]	NA	0.0000000000
Metakosakonia massiliensis [ref_mOTU_v25_00089]	1485952	0.0000000000
Kluyvera ascorbata/georgiana [ref_mOTU_v25_00090]	NA	0.0000000000
Kluyvera ascorbata [ref_mOTU_v25_00091]	51288	0.0000000000
Kluyvera cryocrescens [ref_mOTU_v25_00092]	580	0.0000000000
Kluyvera intermedia [ref_mOTU_v25_00093]	61648	0.0000000000
Enterobacteriaceae bacterium strain FGI 57 [ref_mOTU_v25_00094]	693444	0.0000000000
Proteobacteria sp. [ref_mOTU_v25_00095]	NA	0.0000000000
Enterobacteriaceae sp. [ref_mOTU_v25_00096]	NA	0.0000000000
Citrobacter sp. MGH106 [ref_mOTU_v25_00097]	1686381	0.0000000000
Salmonella bongori [ref_mOTU_v25_00098]	54736	0.0000000000
Salmonella enterica/bongori [ref_mOTU_v25_00099]	NA	0.0000000000
Citrobacter rodentium [ref_mOTU_v25_00100]	67825	0.0000000000
Citrobacter sedlakii [ref_mOTU_v25_00101]	67826	0.0000000000
Citrobacter koseri [ref_mOTU_v25_00102]	545	0.0000000000
Gammaproteobacteria sp. [ref_mOTU_v25_00103]	NA	0.0000000000
Klebsiella sp. RIT-PI-d [ref_mOTU_v25_00104]	1681196	0.0000000000
Prochlorothrix hollandica [ref_mOTU_v25_00105]	1223	0.0000000000
Pseudomonas fluorescens/lundensis [ref_mOTU_v25_00106]	NA	0.0000000000
Pseudomonas helleri [ref_mOTU_v25_00107]	1608996	0.0000000000
Pseudomonas psychrophila [ref_mOTU_v25_00108]	122355	0.0000000000
Pseudomonas endophytica [ref_mOTU_v25_00109]	1563157	0.0000000000
Pseudomonas taetrolens [ref_mOTU_v25_00110]	47884	0.0000000000
Gammaproteobacteria sp. [ref_mOTU_v25_00111]	NA	0.0000000000
Pseudomonas versuta/fragi [ref_mOTU_v25_00112]	NA	0.0000000000
Pseudomonas fragi [ref_mOTU_v25_00113]	296	0.0000000000
Pseudomonas psychrophila/deceptionensis [ref_mOTU_v25_00114]	NA	0.0000000000
Pseudomonas agarici [ref_mOTU_v25_00115]	46677	0.0000000000
Pseudomonas gingeri [ref_mOTU_v25_00116]	117681	0.0000000000
Pseudomonas fuscovaginae/asplenii [ref_mOTU_v25_00117]	NA	0.0000000000
Pseudomonas fuscovaginae [ref_mOTU_v25_00118]	50340	0.0000000000
Pseudomonas batumici [ref_mOTU_v25_00119]	226910	0.0000000000
