name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	2	1	0.0
Azospirillum lipoferum	193	species	7223069	3	0	1.76717e-38
Meiothermus ruber	277	species	3097457	2	2	2.74415e-07
Pseudomonas	286	genus	0	787	3	0.0
Pseudomonas aeruginosa	287	species	22457305	3	0	4.31636e-24
Pseudomonas fluorescens	294	species	14826544	4	0	1.69749e-23
Pseudomonas mendocina	300	species	5293211	1	0	0.0
Pseudomonas putida	303	species	6888188	54	41	3.13052e-06
Ralstonia solanacearum	305	species	11186335	14	3	1.96837e-07
Pseudomonas stutzeri	316	species	7755802	5	5	2.95161e-07
Pseudomonas syringae	317	species	6129101	1	1	0.0
Ralstonia pickettii	329	species	6378979	183	130	9.42821e-06
Pseudomonas pseudoalcaligenes	330	species	4691662	1	1	1.02774e-07
Xanthomonas translucens	343	species	4638247	6	3	3.6282e-133
Rhizobiales	356	order	0	1	0	0.0
Bradyrhizobium japonicum	375	species	9215796	1	0	2.8968e-20
Bradyrhizobium sp.	376	species	7547693	1	0	7.25077e-26
Rhizobium leguminosarum	384	species	7369497	3	3	5.76693e-08
Methylobacillus flagellatus	405	species	2971517	2	0	0.0
Methylobacterium extorquens	408	species	6163878	5	0	0
Gluconobacter oxydans	442	species	3306867	1	0	0.0
Legionella longbeachae	450	species	4149158	4	1	0.0
Alcaligenes faecalis	511	species	4248684	1	1	0.0
Enterobacteriaceae	543	family	0	3563	2150	0.0
Citrobacter	544	genus	0	4166	0	0.0
Citrobacter koseri	545	species	4735357	60605	9	3.12177e-07
Citrobacter freundii	546	species	16193243	6826	12	0
Enterobacter	547	genus	0	2335	0	0.0
[Enterobacter] aerogenes	548	species	10750562	59605	12	3.89789e-07
Pantoea agglomerans	549	species	9924054	76	0	4.39973e-08
Enterobacter cloacae	550	species	10083180	5200	26	0
Erwinia	551	genus	0	13	0	0.0
Pantoea ananatis	553	species	4842757	1245	1	7.31648e-55
Pectobacterium carotovorum	554	species	4852842	23	4	0.0
Escherichia	561	genus	0	11491	0	0.0
Escherichia coli	562	species	12319210	3181486	1363565	0.109032
Shimwellia blattae	563	species	4158725	2960	4	0
Escherichia fergusonii	564	species	4643861	262640	528	5.00633e-05
