name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Sorangium cellulosum	56	species	13907952	2	0	5.53367e-07
Pseudomonas aeruginosa	287	species	22457305	1	0	0.0
Pseudomonas putida	303	species	6888188	2	0	0.0
Rhizobium phaseoli	396	species	87841097	1	0	0
Neisseria gonorrhoeae	485	species	4967431	2	0	0.0
Neisseria meningitidis	487	species	8508873	2	0	0.0
Enterobacteriaceae	543	family	0	8	8	0.0
Citrobacter	544	genus	0	1	0	0.0
Citrobacter koseri	545	species	4735357	24	2	0
Citrobacter freundii	546	species	16193243	27	0	0
[Enterobacter] aerogenes	548	species	10750562	85	1	7.36035e-74
Enterobacter cloacae	550	species	10083180	12	0	0.0
Pantoea ananatis	553	species	4842757	1	0	0
Escherichia	561	genus	0	64	0	0.0
Escherichia coli	562	species	12319210	208299	97650	0.0635664
Shimwellia blattae	563	species	4158725	2	0	0
Escherichia fergusonii	564	species	4643861	15561	6	1.03843e-06
Hafnia alvei	569	species	6928293	4	0	0
Klebsiella oxytoca	571	species	16779606	25	0	0
Klebsiella pneumoniae	573	species	15713353	29	0	0
Serratia marcescens	615	species	8465231	1	1	0.0
Shigella	620	genus	0	25118	0	0.0
Shigella boydii	621	species	4698475	38072	18	3.88198e-06
Shigella dysenteriae	622	species	4560911	19711	17	8.24026e-06
Shigella flexneri	623	species	4763519	23572	2	1.45153e-61
Shigella sonnei	624	species	6798914	35850	14	2.3895e-06
Yersinia	629	genus	0	10	0	0.0
Edwardsiella	635	genus	0	60	0	0.0
Edwardsiella tarda	636	species	3717889	3	0	0.0
Plesiomonas shigelloides	703	species	3405979	60	0	0
Staphylococcus	1279	genus	0	4	3	0.0
Staphylococcus aureus	1280	species	7252422	77398	72544	0.0388748
Streptococcus oralis	1303	species	1958690	897	0	1.15213e-22
Streptococcus suis	1307	species	2683756	2	0	0
Streptococcus mutans	1309	species	2017559	32428	27502	0.061585
Streptococcus agalactiae	1311	species	5721038	27722	25086	0.0185092
Streptococcus pyogenes	1314	species	4096430	1290	5	9.67909e-67
Streptococcus dysgalactiae	1334	species	2149105	454	0	1.28188e-123
Streptococcus equi	1336	species	2140495	4	4	7.19105e-06
Streptococcus intermedius	1338	species	1963517	4935	0	1.04748e-11
Streptococcus parauberis	1348	species	2143887	1	1	0.0
Enterococcus faecalis	1351	species	3401628	1	0	0
Lactococcus lactis	1358	species	2704731	1	0	0
Lactobacillus brevis	1580	species	2493592	229	2	0
Lactobacillus casei	1582	species	3039836	2	2	2.53178e-06
Lactobacillus delbrueckii	1584	species	1920382	1416	0	2.44924e-274
Lactobacillus helveticus	1587	species	3148198	2	0	0
Lactobacillus paracasei	1597	species	4200086	1	0	0
Lactobacillus reuteri	1598	species	2811237	21	0	0.0
Lactobacillus fermentum	1613	species	2108824	91735	83003	0.159564
Lactobacillus sanfranciscensis	1625	species	1375770	31	0	0.0
Listeria monocytogenes	1639	species	5926303	1	1	0.0
Propionibacterium acnes	1747	species	3361368	1806	1806	0.000971937
Mycobacteriaceae	1762	family	0	1	0	0.0
Mycobacterium smegmatis	1772	species	20962296	1	1	1.83572e-07
Mycobacterium chubuense	1800	species	6342624	1	1	0.0
Rhodococcus fascians	1828	species	5502110	58	23	2.69984e-05
Gordonia bronchialis	2054	species	5290012	1	0	0
Tsukamurella paurometabola	2061	species	4479724	1	0	8.59004e-07
Homo sapiens	9606	species	3238442024	117	78	1.08131e-07
Siphoviridae	10699	family	47340	1	0	0.0
Escherichia virus HK022	10742	species	40751	1	0	0.0379791
Streptococcus mitis	28037	species	3110438	897	0	2.63748e-78
Cronobacter sakazakii	28141	species	5648091	3	0	0
Serratia proteamaculans	28151	species	5495657	1	0	0
Yersinia kristensenii	28152	species	4496569	1	0	0
Salmonella enterica	28901	species	6689149	7943	20	6.1939e-07
Staphylococcus capitis	29388	species	2503265	2	0	0
Rhizobium etli	29449	species	6784960	1	0	7.64411e-196
Yersinia frederiksenii	29484	species	4550894	1	0	0
