SampleID	Group	Abundance	Species	Dist
S1	1_Truth	0.05	Pseudomonas_aeruginosa	0.000 
S2	1_Truth	0.05	Rhodobacter_sphaeroides	
S3	1_Truth	0.05	Escherichia_coli	
S4	1_Truth	0.05	Cutibacterium_acnes	
S5	1_Truth	0.05	Bifidobacterium_adolescentis	
S6	1_Truth	0.05	Deinococcus_radiodurans	
S7	1_Truth	0.05	Porphyromonas_gingivalis	
S8	1_Truth	0.05	Bacteroides_vulgatus	
S9	1_Truth	0.05	Schaalia_odontolytica	
S10	1_Truth	0.05	Neisseria_meningitidis	
S11	1_Truth	0.05	Acinetobacter_baumannii	
S12	1_Truth	0.05	Bacillus_cereus	
S13	1_Truth	0.05	Enterococcus_faecalis	
S14	1_Truth	0.05	Clostridium_beijerinckii	
S15	1_Truth	0.05	Staphylococcus_aureus	
S16	1_Truth	0.05	Lactobacillus_gasseri	
S17	1_Truth	0.05	Streptococcus_agalactiae	
S18	1_Truth	0.05	Streptococcus_mutans	
S19	1_Truth	0.05	Helicobacter_pylori	
S20	1_Truth	0.05	Staphylococcus_epidermidis	
S21	2_Shotgun	0.10155451	Pseudomonas_aeruginosa	0.137 
S22	2_Shotgun	0.070771119	Rhodobacter_sphaeroides	
S23	2_Shotgun	0.069134792	Escherichia_coli	
S24	2_Shotgun	0.039578646	Cutibacterium_acnes	
S25	2_Shotgun	0.027203927	Bifidobacterium_adolescentis	
S26	2_Shotgun	0.051748824	Deinococcus_radiodurans	
S27	2_Shotgun	0.030272039	Porphyromonas_gingivalis	
S28	2_Shotgun	0.069646144	Bacteroides_vulgatus	
S29	2_Shotgun	0.026999386	Schaalia_odontolytica	
S30	2_Shotgun	0.035283289	Neisseria_meningitidis	
S31	2_Shotgun	0.0583964	Acinetobacter_baumannii	
S32	2_Shotgun	0.147883003	Bacillus_cereus	
S33	2_Shotgun	0.03548783	Enterococcus_faecalis	
S34	2_Shotgun	0.073839231	Clostridium_beijerinckii	
S35	2_Shotgun	0.031806095	Staphylococcus_aureus	
S36	2_Shotgun	0.024135815	Lactobacillus_gasseri	
S37	2_Shotgun	0.018204132	Streptococcus_agalactiae	
S38	2_Shotgun	0.027715279	Streptococcus_mutans	
S39	2_Shotgun	0.026181223	Helicobacter_pylori	
S40	2_Shotgun	0.034158315	Staphylococcus_epidermidis	
S41	3_16S_AWGB_seq	0.04896094	Pseudomonas_aeruginosa	0.300 
S42	3_16S_AWGB_seq	0.077184202	Rhodobacter_sphaeroides	
S43	3_16S_AWGB_seq	0.000413448	Escherichia_coli	
S44	3_16S_AWGB_seq	0.011010771	Cutibacterium_acnes	
S45	3_16S_AWGB_seq	0.041366554	Bifidobacterium_adolescentis	
S46	3_16S_AWGB_seq	0.058753128	Deinococcus_radiodurans	
S47	3_16S_AWGB_seq	0.122228267	Porphyromonas_gingivalis	
S48	3_16S_AWGB_seq	0.151844195	Bacteroides_vulgatus	
S49	3_16S_AWGB_seq	0.017038407	Schaalia_odontolytica	
S50	3_16S_AWGB_seq	0.084169296	Neisseria_meningitidis	
S51	3_16S_AWGB_seq	0.0802089	Acinetobacter_baumannii	
S52	3_16S_AWGB_seq	0	Bacillus_cereus	
S53	3_16S_AWGB_seq	0.02241323	Enterococcus_faecalis	
S54	3_16S_AWGB_seq	0	Clostridium_beijerinckii	
S55	3_16S_AWGB_seq	0.043869002	Staphylococcus_aureus	
S56	3_16S_AWGB_seq	0.025220324	Lactobacillus_gasseri	
S57	3_16S_AWGB_seq	0.056403003	Streptococcus_agalactiae	
S58	3_16S_AWGB_seq	0.056925253	Streptococcus_mutans	
S59	3_16S_AWGB_seq	0.044587096	Helicobacter_pylori	
S60	3_16S_AWGB_seq	0.057403982	Staphylococcus_epidermidis	
S61	4_16S_AWGB_seq	0.053026111	Pseudomonas_aeruginosa	0.342 
S62	4_16S_AWGB_seq	0.095534536	Rhodobacter_sphaeroides	
S63	4_16S_AWGB_seq	0.000255872	Escherichia_coli	
S64	4_16S_AWGB_seq	0.015899978	Cutibacterium_acnes	
S65	4_16S_AWGB_seq	0.044801172	Bifidobacterium_adolescentis	
S66	4_16S_AWGB_seq	0.084841778	Deinococcus_radiodurans	
S67	4_16S_AWGB_seq	0.132376741	Porphyromonas_gingivalis	
S68	4_16S_AWGB_seq	0.093972369	Bacteroides_vulgatus	
S69	4_16S_AWGB_seq	0.024604116	Schaalia_odontolytica	
S70	4_16S_AWGB_seq	0.091157777	Neisseria_meningitidis	
S71	4_16S_AWGB_seq	0.057912369	Acinetobacter_baumannii	
S72	4_16S_AWGB_seq	0	Bacillus_cereus	
