SampleID	2B_s	shotgun	Group	Color
S_1	0.618588771	0.673043811	S01	Shared
S_2	0.048516917	0.090652645	S01	Shared
S_3	0.029654597	0.031971097	S01	Shared
S_4	0.014563636	0.016807223	S01	Shared
S_5	0.013726838	0.021852261	S01	Shared
S_6	0.013075271	0.014300459	S01	Shared
S_7	0.009452057	0.008031668	S01	Shared
S_8	0.007072099	0.006286822	S01	Shared
S_9	0.006922308	0.013544526	S01	Shared
S_10	0.006134406	0.006438703	S01	Shared
S_11	0.005945201	0.005094289	S01	Shared
S_12	0.005661883	0.007395481	S01	Shared
S_13	0.004718862	0.002929722	S01	Shared
S_14	0.00411217	0.004063187	S01	Shared
S_15	0.003780473	0.002950149	S01	Shared
S_16	0.00329937	0.00525095	S01	Shared
S_17	0.003052128	0.003072873	S01	Shared
S_18	0.003051394	0.000921427	S01	Shared
S_19	0.002926068	0.002293295	S01	Shared
S_20	0.002808829	0.004417988	S01	Shared
S_21	0.002481657	0.002389318	S01	Shared
S_22	0.002410471	0.002304128	S01	Shared
S_23	0.001789258	0.002665759	S01	Shared
S_24	0.001590827	0.003815606	S01	Shared
S_25	0.001564271	0.007864377	S01	Shared
S_27	0.001533885	0.00107747	S01	Shared
S_28	0.001505207	0.001301276	S01	Shared
S_29	0.001405976	0.001454288	S01	Shared
S_30	0.001376867	0.000970602	S01	Shared
S_31	0.001270003	0.000763737	S01	Shared
S_32	0.001114139	0.001758953	S01	Shared
S_33	0.001074925	0.000196054	S01	Shared
S_36	0.000752224	0.001013239	S01	Shared
S_37	0.000728291	0.003965451	S01	Shared
S_38	0.00066603	0.000201326	S01	Shared
S_41	0.000577555	0.001812607	S01	Shared
S_42	0.000570428	0.000525953	S01	Shared
S_43	0.000545375	0.001092455	S01	Shared
S_44	0.000539591	0.000484005	S01	Shared
S_45	0.000504372	0.000536945	S01	Shared
S_46	0.000497364	0.000437714	S01	Shared
S_48	0.000483958	0.000393612	S01	Shared
S_49	0.00045996	0.000603664	S01	Shared
S_50	0.000443307	0.000367173	S01	Shared
S_52	0.000315434	0.000207589	S01	Shared
S_53	0.000313178	0.002356495	S01	Shared
S_54	0.000311662	0.000200043	S01	Shared
S_55	0.000287245	0.000949921	S01	Shared
S_56	0.000286127	0.000224023	S01	Shared
S_57	0.000275964	0.000184882	S01	Shared
S_58	0.000258507	0.003428195	S01	Shared
S_59	0.000252879	0.000193118	S01	Shared
S_60	0.000232422	0.000965352	S01	Shared
S_61	0.000202303	0.000132384	S01	Shared
S_63	0.000174896	0.000289254	S01	Shared
S_66	0.000131326	0.00011425	S01	Shared
S_68	0.000114605	0.000160955	S01	Shared
S_70	0.003904857	0.006928649	S01	Shared
S_288	0.579998107	0.58763412	S06	Shared
S_289	0.043624683	0.088178032	S06	Shared
S_290	0.017231312	0.018468078	S06	Shared
S_291	0.042556545	0.046974007	S06	Shared
S_292	0.010971678	0.012673377	S06	Shared
S_294	0.003967391	0.00359061	S06	Shared
S_295	0.005837048	0.006249245	S06	Shared
S_296	0.009262017	0.023283907	S06	Shared
S_297	0.009966333	0.013932218	S06	Shared
S_298	0.005571942	0.006203092	S06	Shared
S_300	0.015859548	0.020753322	S06	Shared
S_301	0.028321336	0.030077794	S06	Shared
S_302	0.004303993	0.004736864	S06	Shared
S_305	0.004867159	0.004564694	S06	Shared
S_306	0.000480842	0.000478498	S06	Shared
S_308	0.00375204	0.004325132	S06	Shared
S_309	0.000778084	0.006027201	S06	Shared
S_311	0.002162979	0.010726269	S06	Shared
S_314	0.003374652	0.003934604	S06	Shared
S_318	0.001031024	0.001173203	S06	Shared
S_319	0.001634729	0.001715959	S06	Shared
S_320	0.002678613	0.002481802	S06	Shared
S_321	0.000548093	0.000437379	S06	Shared
S_322	0.001531935	0.001497188	S06	Shared
S_324	0.000991048	0.011893131	S06	Shared
S_325	0.000237847	0.000191375	S06	Shared
S_330	0.000487827	0.000955208	S06	Shared
S_331	0.00048725	0.000357646	S06	Shared
S_333	0.00047704	0.00047473	S06	Shared
S_335	0.000356757	0.000337236	S06	Shared
S_337	0.000631084	0.00045082	S06	Shared
S_338	0.001702231	0.001706437	S06	Shared
S_339	0.000437355	0.000182752	S06	Shared
S_340	0.000233876	0.000833448	S06	Shared
S_341	0.00015725	0.000144805	S06	Shared
S_342	0.000185575	0.000189905	S06	Shared
S_344	0.000503115	0.000282085	S06	Shared
S_345	0.000843349	0.00965744	S06	Shared
S_351	0.000611525	0.003232563	S06	Shared
S_352	0.002955955	0.002224674	S06	Shared
S_356	0.000385654	0.000536756	S06	Shared
S_357	0.005047453	0.02422572	S06	Shared
S_358	0.001488891	0.000744967	S06	Shared
S_359	0.000116557	0.000263458	S06	Shared
S_360	0.000318027	0.003132998	S06	Shared
S_361	0.000105003	0.000512898	S06	Shared
