SampleID	xa	ya	spp	type
S01	0.5	0.897312	BC	shotgun
S01	0.5	0.891323	BC	shotgun
S01	0.5	0.896974	BC	shotgun
S01	1	0.9074843	BC	shotgun
S01	1	0.9176107	BC	shotgun
S01	1	0.9284215	BC	shotgun
S01	10	0.9580129	BC	shotgun
S01	10	0.9601107	BC	shotgun
S01	10	0.9627169	BC	shotgun
S01	20	0.9657972	BC	shotgun
S01	20	0.9712917	BC	shotgun
S01	20	0.964113	BC	shotgun
S01	50	0.9801789	BC	shotgun
S01	50	0.980678	BC	shotgun
S01	50	0.9869572	BC	shotgun
S01	100	0.9854485	BC	shotgun
S01	100	0.9884696	BC	shotgun
S01	100	0.9866544	BC	shotgun
S01	200	0.99495226	BC	shotgun
S01	200	0.9941064	BC	shotgun
S01	200	0.99516702	BC	shotgun
S01	417.68	1	BC	shotgun
S06	0.5	0.885202	BC	shotgun
S06	0.5	0.838995	BC	shotgun
S06	0.5	0.85114	BC	shotgun
S06	1	0.877003	BC	shotgun
S06	1	0.882661	BC	shotgun
S06	1	0.906774	BC	shotgun
S06	10	0.9383396	BC	shotgun
S06	10	0.9499146	BC	shotgun
S06	10	0.9403496	BC	shotgun
S06	20	0.9526653	BC	shotgun
S06	20	0.9619999	BC	shotgun
S06	20	0.9500148	BC	shotgun
S06	50	0.9585897	BC	shotgun
S06	50	0.966259	BC	shotgun
S06	50	0.9673246	BC	shotgun
S06	100	0.9703591	BC	shotgun
S06	100	0.9698582	BC	shotgun
S06	100	0.9733821	BC	shotgun
S06	200	0.9802163	BC	shotgun
S06	200	0.9818012	BC	shotgun
S06	200	0.9869949	BC	shotgun
S06	443.49	1	BC	shotgun
S07	0.5	0.85523	BC	shotgun
S07	0.5	0.855992	BC	shotgun
S07	0.5	0.860851	BC	shotgun
S07	1	0.877679	BC	shotgun
S07	1	0.874909	BC	shotgun
S07	1	0.866087	BC	shotgun
S07	10	0.9436581	BC	shotgun
S07	10	0.9478033	BC	shotgun
S07	10	0.9572382	BC	shotgun
S07	20	0.9644334	BC	shotgun
S07	20	0.9611808	BC	shotgun
S07	20	0.9710355	BC	shotgun
S07	50	0.9733445	BC	shotgun
S07	50	0.9730395	BC	shotgun
S07	50	0.9779073	BC	shotgun
S07	100	0.983355	BC	shotgun
S07	100	0.9809194	BC	shotgun
S07	100	0.9840178	BC	shotgun
S07	200	0.99104532	BC	shotgun
S07	200	0.99019534	BC	shotgun
S07	200	0.99130389	BC	shotgun
S07	451.49	1	BC	shotgun
S01	0.5	0.813284	JSD	shotgun
S01	0.5	0.819301	JSD	shotgun
S01	0.5	0.809735	JSD	shotgun
S01	1	0.856287	JSD	shotgun
S01	1	0.861649	JSD	shotgun
S01	1	0.866298	JSD	shotgun
S01	10	0.9322025	JSD	shotgun
S01	10	0.9356562	JSD	shotgun
S01	10	0.9351093	JSD	shotgun
S01	20	0.9481807	JSD	shotgun
S01	20	0.9509091	JSD	shotgun
S01	20	0.9401316	JSD	shotgun
S01	50	0.9667033	JSD	shotgun
S01	50	0.9646504	JSD	shotgun
S01	50	0.9683257	JSD	shotgun
S01	100	0.973266	JSD	shotgun
S01	100	0.9734944	JSD	shotgun
S01	100	0.9753741	JSD	shotgun
S01	200	0.984616	JSD	shotgun
S01	200	0.9829278	JSD	shotgun
S01	200	0.9833916	JSD	shotgun
S01	417.68	1	JSD	shotgun
S06	0.5	0.819896	JSD	shotgun
S06	0.5	0.798775	JSD	shotgun
S06	0.5	0.805325	JSD	shotgun
S06	1	0.844274	JSD	shotgun
S06	1	0.855587	JSD	shotgun
S06	1	0.854685	JSD	shotgun
S06	10	0.9224104	JSD	shotgun
S06	10	0.9282104	JSD	shotgun
S06	10	0.9253079	JSD	shotgun
S06	20	0.9362475	JSD	shotgun
S06	20	0.9438886	JSD	shotgun
S06	20	0.939107	JSD	shotgun
S06	50	0.9530628	JSD	shotgun
S06	50	0.9545289	JSD	shotgun
S06	50	0.9585978	JSD	shotgun
S06	100	0.9649177	JSD	shotgun
S06	100	0.9624861	JSD	shotgun
S06	100	0.9682897	JSD	shotgun
S06	200	0.97559	JSD	shotgun
S06	200	0.9789203	JSD	shotgun
S06	200	0.9785885	JSD	shotgun
S06	443.49	1	JSD	shotgun
S07	0.5	0.811521	JSD	shotgun
S07	0.5	0.825666	JSD	shotgun
S07	0.5	0.817843	JSD	shotgun
S07	1	0.837119	JSD	shotgun
S07	1	0.842404	JSD	shotgun
S07	1	0.824602	JSD	shotgun
S07	10	0.9273169	JSD	shotgun
S07	10	0.9211617	JSD	shotgun
S07	10	0.9344908	JSD	shotgun
S07	20	0.9517201	JSD	shotgun
S07	20	0.9457594	JSD	shotgun
S07	20	0.950431	JSD	shotgun
S07	50	0.9629125	JSD	shotgun
S07	50	0.9633475	JSD	shotgun
S07	50	0.9658332	JSD	shotgun
S07	100	0.97494	JSD	shotgun
S07	100	0.9682702	JSD	shotgun
S07	100	0.9750506	JSD	shotgun
S07	200	0.9822016	JSD	shotgun
S07	200	0.9843247	JSD	shotgun
S07	200	0.9861251	JSD	shotgun
S07	451.49	1	JSD	shotgun
S01	0.5	0.96737	L2	shotgun
S01	0.5	0.9625158	L2	shotgun
S01	0.5	0.9688929	L2	shotgun
S01	1	0.9525383	L2	shotgun
S01	1	0.967438	L2	shotgun
S01	1	0.9783767	L2	shotgun
S01	10	0.9713113	L2	shotgun
S01	10	0.9707043	L2	shotgun
S01	10	0.9776322	L2	shotgun
S01	20	0.9746895	L2	shotgun
S01	20	0.9832852	L2	shotgun
S01	20	0.973729	L2	shotgun
S01	20	0.9575994	L2	shotgun
S01	50	0.9849149	L2	shotgun
S01	50	0.9888195	L2	shotgun
S01	50	0.99603258	L2	shotgun
S01	100	0.9888065	L2	shotgun
S01	100	0.99461222	L2	shotgun
S01	100	0.99173262	L2	shotgun
S01	200	0.99839893	L2	shotgun
S01	200	0.99780645	L2	shotgun
S01	200	0.9981067	L2	shotgun
S01	417.68	1	L2	shotgun
S06	0.5	0.9630872	L2	shotgun
S06	0.5	0.9206947	L2	shotgun
S06	0.5	0.9408507	L2	shotgun
S06	1	0.9328378	L2	shotgun
S06	1	0.920534	L2	shotgun
S06	1	0.9616793	L2	shotgun
S06	10	0.9576139	L2	shotgun
S06	10	0.9608638	L2	shotgun
S06	10	0.9504934	L2	shotgun
S06	20	0.9628866	L2	shotgun
S06	20	0.9719137	L2	shotgun
S06	20	0.9575994	L2	shotgun
S06	50	0.9620356	L2	shotgun
S06	50	0.9703978	L2	shotgun
S06	50	0.9719913	L2	shotgun
S06	100	0.9742143	L2	shotgun
S06	100	0.9739511	L2	shotgun
S06	100	0.9762949	L2	shotgun
S06	200	0.9818148	L2	shotgun
S06	200	0.9835502	L2	shotgun
S06	200	0.9895752	L2	shotgun
S06	443.49	1	L2	shotgun
S07	0.5	0.936338	L2	shotgun
S07	0.5	0.9377426	L2	shotgun
S07	0.5	0.9507693	L2	shotgun
S07	1	0.9621969	L2	shotgun
S07	1	0.9531591	L2	shotgun
S07	1	0.946827	L2	shotgun
S07	10	0.9719029	L2	shotgun
S07	10	0.9792814	L2	shotgun
S07	10	0.9848483	L2	shotgun
S07	20	0.9846787	L2	shotgun
S07	20	0.9826455	L2	shotgun
S07	20	0.9875468	L2	shotgun
S07	50	0.9868432	L2	shotgun
S07	50	0.9873879	L2	shotgun
S07	50	0.99027947	L2	shotgun
S07	100	0.9910046	L2	shotgun
S07	100	0.99093647	L2	shotgun
S07	100	0.99272184	L2	shotgun
S07	200	0.99598956	L2	shotgun
S07	200	0.99592354	L2	shotgun
S07	200	0.99600464	L2	shotgun
S07	451.49	1	L2	shotgun
S01	0.1	0.9547127	BC	2B
S01	0.1	0.955547	BC	2B
S01	0.1	0.9499279	BC	2B
S01	0.5	0.9741097	BC	2B
S01	0.5	0.9761591	BC	2B
S01	0.5	0.9749288	BC	2B
S01	1	0.9796625	BC	2B
S01	1	0.9794876	BC	2B
S01	1	0.9799138	BC	2B
S01	2	0.9833577	BC	2B
S01	2	0.9852269	BC	2B
S01	2	0.9838909	BC	2B
S01	3	0.986133	BC	2B
S01	3	0.99077788	BC	2B
S01	3	0.9881951	BC	2B
S01	4	0.99057378	BC	2B
S01	4	0.99147193	BC	2B
S01	4	0.99020807	BC	2B
S01	5	0.99278534	BC	2B
S01	5	0.99195033	BC	2B
S01	5	0.9937432	BC	2B
S01	6	0.99381193	BC	2B
S01	6	0.99357082	BC	2B
S01	6	0.99335526	BC	2B
S01	7	0.99437919	BC	2B
S01	7	0.99400853	BC	2B
S01	7	0.99506066	BC	2B
S01	8	0.99510666	BC	2B
S01	8	0.99500289	BC	2B
S01	8	0.99512804	BC	2B
S01	9	0.99475564	BC	2B
S01	9	0.99516751	BC	2B
S01	9	0.99589036	BC	2B
S01	10	0.99475781	BC	2B
S01	10	0.99415147	BC	2B
S01	10	0.99565015	BC	2B
S01	11	0.99549507	BC	2B
S01	11	0.99685824	BC	2B
S01	11	0.99571256	BC	2B
S01	12	0.99681035	BC	2B
S01	12	0.99732	BC	2B
S01	12	0.99646867	BC	2B
S01	13	0.99661747	BC	2B
S01	13	0.99513982	BC	2B
S01	13	0.99472133	BC	2B
S01	14.07	1	BC	2B
S06	0.1	0.9383125	BC	2B
S06	0.1	0.9341211	BC	2B
S06	0.1	0.9370304	BC	2B
S06	0.5	0.9747474	BC	2B
S06	0.5	0.9717033	BC	2B
S06	0.5	0.9749163	BC	2B
S06	1	0.9792758	BC	2B
S06	1	0.9796654	BC	2B
S06	1	0.979867	BC	2B
S06	2	0.9834471	BC	2B
S06	2	0.9839381	BC	2B
S06	2	0.9822976	BC	2B
S06	3	0.9863164	BC	2B
S06	3	0.9856456	BC	2B
S06	3	0.9865946	BC	2B
S06	4	0.9872441	BC	2B
S06	4	0.9888335	BC	2B
S06	4	0.9879366	BC	2B
S06	5	0.9893555	BC	2B
S06	5	0.9903201	BC	2B
S06	5	0.99016191	BC	2B
