unique_name	Home_car_KC05BgC-1	Home_car_KC05T2C-1	Home_car_KC05T3C-1	Home_car_KC06BgP-1	Home_car_KC06T1P-1	Home_car_KC06T2P-1	Home_car_KC06T3P-1	Home_car_KCT0C-1	Home_car_KCT0P-1	Home_car_KT05BgC-1	Home_car_KT05T2C-1	Home_car_SMM-2-3	Home_car_SY-41	Home_car_WJM-I	Home_car_WX-9	Home_car_Y-SB-1	Home_car_Y-SC-1	Underarm_1	Underarm_10	Underarm_11	Underarm_12	Underarm_13	Underarm_14	Underarm_15	Underarm_16	Underarm_17	Underarm_18	Underarm_19	Underarm_2	Underarm_20	Underarm_3	Underarm_4	Underarm_5	Underarm_6	Underarm_7	Underarm_8	Underarm_9
Malassezia_restricta	4.945636814	5.491449447	5.167503564	3.191896969	2.797367023	3.327133464	3.205689551	3.992053278	4.135786897	4.856082512	4.779780023	3.677110684	2.257909551	3.466441156	1.512458319	5.308316625	4.598844017	3.411156361	4.587362856	4.048469391	4.725082535	3.996924873	3.242410559	4.399593028	4.490472891	3.275770712	4.789245815	3.380196774	3.65006359	3.436060865	4.094569892	3.259224428	3.766610554	2.884872444	3.993889323	3.760998853	3.176637789
Malassezia_globosa	4.120945067	4.091559422	4.381492246	2.514713336	2.290584753	2.935798803	2.723334674	3.449295486	3.457064406	3.989459705	3.609564955	3.396230655	1.945852692	2.866808426	0.971618396	4.545441993	3.877216097	2.050744183	3.846555714	3.607289506	4.250671069	3.899986701	3.486002926	4.664938618	3.023154802	3.645173411	4.118230663	3.99457096	3.939416787	3.858364765	4.321120009	4.070244618	4.345968199	4.258424453	4.460786622	4.384966728	2.394597474
Alternaria_alternata	4.20095853	3.732168752	4.575042544	4.239658022	4.263781776	4.666413872	4.301493846	3.336885457	4.153524259	3.558156435	3.105037039	3.320897917	2.104419345	3.291939054	0	4.29560735	3.851705283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.755313217	0	0	0	1.061906252	0
Aureobasidium_pullulans	3.169815127	0	3.82727887	3.995636335	4.376932737	4.433501682	3.881261272	0	3.053635587	2.676889263	3.467460188	2.727101965	1.75566574	1.61291281	0	3.097854583	2.288696171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candida_tropicalis	0	0	0	2.281984073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.460219871	3.029688106	2.622624459	3.57011107	3.633282572	3.516955344	0	0	3.452378134	2.631614983	0	0	3.325144905	0	0	0	0
Alternaria_arborescens	3.494795965	3.348486476	3.916047785	3.512086365	3.549270032	3.940251532	3.544870981	0	3.527319554	2.731466736	2.334852813	2.650870551	1.561017812	2.388723972	0	3.58565087	2.939767553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wallemia_mellicola	3.295592353	0	0	3.006537073	0	2.996768008	0	3.929068833	4.091647647	3.002885821	2.452998918	0	0	0	0	2.885963354	0	0	4.049588266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusarium_fujikuroi	3.123965656	1.921760749	3.503738425	2.179058899	0	3.44976034	1.661901343	3.660656443	3.493910982	2.752885664	3.829748456	1.514101119	1.113549169	0	0	1.920818325	1.505899371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusarium_verticillioides	3.44978178	0	2.691650065	2.533302576	1.871041201	2.696595644	1.920466114	0	2.119704881	4.116157352	2.517794328	0	1.401941616	0	0	2.417243738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharomyces_cerevisiae	2.920581238	0	2.971381292	3.129452311	2.966392158	3.330653552	3.337505017	0	0	2.28959078	2.50485651	0	0	3.444868607	1.311244963	3.615497284	2.321532904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
