SampleID	unclassified	Amycolatopsis	Clostridioides	Empedobacter	Aureimonas	Aliidiomarina	Aggregatibacter	human	Tepidimonas	Janibacter	Wallemia	Kocuria	Massilia	Neisseria	Xanthobacter	Candida	Curtobacterium	Vulcaniibacterium	Perlucidibaca	Anaerococcus	Lelliottia	Tardiphaga	Ottowia	Citricoccus	Salinivibrio	Lactobacillus	Ewingella	Mycobacterium	Escherichia	Pseudoxanthomonas	Micromonospora	Malassezia	Bordetella	Micrococcus	Klebsiella	Acinetobacter	Aquimixticola	Dietzia	Mesorhizobium	Pedobacter	Novosphingobium	Comamonas	Gemmatimonas	Phenylobacterium	Primorskyibacter	Dermacoccus	Finegoldia	Staphylococcus	Bifidobacterium	Mycolicibacterium	Actinomycetospora	Porphyromonas	Selenomonas	Pseudomonas	Atopobium	Nitrincola	Gardnerella	Luteimonas	Aquabacterium	Dermabacter	Propionibacterium	Mycobacteroides	Stenotrophomonas	Helicobacter	Rhizobiales	Rothia	Uruburuella	Lactococcus	Serratia	Deinococcus	Methyloversatilis	Pseudoglutamicibacter	Cutibacterium	Dolosigranulum	Vibrio	Barrientosiimonas	Rahnella	Ralstonia	Amaricoccus	Gordonia	Alkanindiges	Sphingomonas	Bacillus	Brachybacterium	Oceanospirillum	Luteibacter	Xanthomonas	Bacteroides	Calidifontibacter	Pantoea	Methylorubrum	Sphingopyxis	Streptococcus	Tsukamurella	Nocardia	Bradyrhizobium	Prevotella	Halomonas	Nitratireductor	Acidovorax	Enhydrobacter	Sulfuriferula	Rhizobium	Cedecea	Brevundimonas	Lysobacter	Enterococcus	Peptoniphilus	Bosea	Trichococcus	Paracoccus	Pseudonocardia	bacterium	Roseomonas	Citrobacter	Clostridium	Microbacterium	Rheinheimera	Piscicoccus	Rubrimonas	Chryseobacterium	Brevibacterium	Moraxella	Diaphorobacter	Nakamurella	Corynebacterium	Alishewanella	Yokenella	alpha	Hydrogenophilus	Aliihoeflea	Blastococcus	Schaalia	Paraburkholderia	Aquamicrobium	Skermanella	Methylobacterium	Actinomyces	Cruoricaptor	Niveispirillum	Rhodobacter	Cloacibacterium
Underarm_1_2B	0.000581203	0	0	0	0	0	0	0	0	0.000498579	0	0.005239274	0	0	0	0.001089802	0	0.00039224	0	0	0.000735277	0.000879565	0	0	0	0.000143683	0	0	0	0	0	0.000268964	0.000339851	0.000177985	0	0.000897328	0	0	0	0	0.000289752	0	0.000336263	0	0	0.067977955	0	0.7723897	0	0	0	0.000117391	0	0.000255466	0	0.000785895	0	0	0	0	0	0.000148457	0	0.00014263	0	0	0.022885933	0	0	0	0	0	0.016416034	0	0	0	0	0	0	0	0	0.00194996	0.005983036	0.002062193	0.017343788	0	0	0.000135409	0.000228442	0	0	0	0.000155022	0	0	0.000832392	0.001862237	0.000504181	0	0	0	0	0	0	0	0	0.015307652	0	0	0	0.000466594	0	0	0	0	0.000110202	0	0	0	0	0	0.001039807	0.037342255	0	0	0.01551477	0.005445326	0	0	0	0	0	0	0.000331119	0	0	0.000396386	0	0	0	0	0
Underarm_10_2B	0.000515378	0.000562493	0	0	0	0	0	0.003358009	0.000431714	0.005102725	0.001120954	0	0	0	0	0	0	0.000189395	0	0	0	0	0	0	0.007295464	0.000114447	0	0	0	0	0	0.005089397	0	0.017999449	0	0.001430208	0.000493807	0	0	0	0	0	0	0.00098172	0	0.01089431	0	0.298282913	0	0.004432111	0.000270725	0	0	0.001307335	0	0.001639617	0	0	0	0.000929812	0.002283117	0	0.000230454	0.002360576	0	0	0.062488464	0	0.00235691	0	0	0	0.024310087	0.002666066	0	0.11625562	0	0	0	0.006452941	0	0.002409731	0.007484196	0.001725738	0.033676913	0	0.000670509	0.001057779	0.002055144	0.000832024	0.000532958	0.000142008	0.010538315	0	0	0.001149845	0	0.005078883	0	0.000531903	0.005950946	0	0	0	0.001244489	0	0.042737326	0	0	0	0.014797533	0.000136218	0.000137204	0.000943391	0.000681362	0.000120291	0.001083333	0	0	0	0	0.000738785	0.025354195	0	0	0.253706434	0	0.000797598	0.000127758	0	0.000156966	0.000694649	0	0.000275775	0	0.00029733	0.00014348	0	0	0	0.000142774	0
Underarm_11_2B	0.000567058	0	0	0	0	0	0	0.000117473	0	0.000264943	0	0	0	0	0	0	0	0	0	0	0	0.000919712	0	0	0.00790966	0	0	0	0.003048529	0	0	0.001522916	0	0	0	0	0	0	0	0	0	0	0	0.000651342	0	0	0	0.696755201	0	0.002513163	0	0.000505313	0.009776796	0.000618425	0	0.000437198	0	0	0	0	0	0	0.000482168	0	0	0	0.081145919	0	0.000139692	0	0	0	0	0	0	0	0	0	0	0.000326709	0	0.002540655	0.00979695	0	0.063281	0	0	0	0	0	0	0	0.014595497	0	0	0.001591578	0	0.003959714	0	0.000940038	0.010106706	0	0	0	0.000492784	0	0.058109588	0	0.000321353	0	0	0	0	0	0	0	0.000485744	0.002672805	0	0	0	0.00030102	0.014686932	0	0	0.001999214	0.004568219	0	0.000273982	0	0	0	0	0.000764941	0	0.000152767	0.000205507	0.000450787	0	0	0	0
Underarm_12_2B	0.000350498	0.001237015	0	0	0	0	0	0.001267371	0	0	0	0.001119004	0	0	0	0.00288549	0	0.00024237	0	0	0	0	0	0	0.065141533	0.058768013	0	0	0.018329598	0	0	0.007090881	0	0.006341136	0	0.004296252	0	0	0	0	0.000457607	0	0	0.004051302	0	0	0	0.038503408	0.000268309	0.001117289	0	0.000381377	0	0.002286323	0	0.004093679	0	0	0	0	0.010117237	0	0.001083159	0.000366038	0	0	0.209125197	0	0.00356973	0.000240179	0	0	0.061838814	0.006010335	0.00419999	0.000110592	0	0	0	0	0	0.004037791	0.014428811	0	0.072129308	0	0	0.00057734	0	0	0	0	0.017830099	0	0	0.004880055	0	0.008704247	0	0.001263869	0.022852656	0	0	0	0	0.000242935	0.111609516	0	0	0	0.001519877	0	0.000415167	0	0	0	0	0	0.000347218	0	0	0.000321086	0.1626028	0	0	0.053000977	0	0	0	0	0	0	0.000141436	0.000784422	0	0	0	0	0	0	0.000161983	0.007258682
Underarm_13_2B	0.000780616	0	0	0	0.00063746	0	0	0	0	0	0	0	0	0	0	0.000107075	0	0	0	0.00033985	0	0	0	0	0.022917939	0	0	0	0.004568224	0.000178694	0	0.001787247	0	0.000368458	0	0	0	0	0	0	0	0	0	0.00080414	0	0	0	0.66691245	0	0	0	0	0	0.000112226	0	0	0	0	0	0	0.000329104	0	0	0.000203274	0	0	0.084604226	0	0	0	0	0	0.003709481	0	0	0	0	0	0	0	0	0.002318608	0.007356354	0	0.064224601	0.000504946	0	0	0	0	0	0.001031898	0.033281676	0	0	0.001700745	0	0	0	0	0	0	0	0	0	0	0.07097662	0.001052625	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000140095	0.000338657	0	0	0.02871271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Underarm_14_2B	0.000766655	0	0	0.000105209	0	0	0	0.000510063	0	0	0	0	0	0	0	0	0	0	0	0.020916016	0	0	0	0	0.00054113	0.00017399	0	0	0	0	0	0.000483988	0	0	0.00502383	0.000141485	0	0	0	0	0	0	0	0	0	0	0.006016587	0.538520457	0	0	0	0	0	0.002384781	0	0.000162193	0	0	0	0.000765786	0.020986698	0	0	0	0	0	0.00306355	0	0.000153436	0	0	0	0.233614852	0.000349702	0	0	0	0	0	0	0	0.000152386	0.000639209	0	0.002466062	0	0	0	0	0	0	0	0	0	0	0	0	0.000173226	0	0	0.000322109	0	0	0	0	0	0.002052361	0.04987872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001783241	0	0	0.107852279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Underarm_15_2B	0.000160532	0.000460184	0	0	0.000423812	0	0.001720775	0.000417152	0.00119713	0.001119942	0	0.015392844	0	0	0.000527226	0.000371751	0	0.00022408	0	0.000291867	0	0	0	0	0.015711716	0.000168556	0.000490695	0.000510817	0.004418913	0.000134507	0	0.007135018	0.000253024	0.007658534	0	0.01100046	0	0.000894194	0.000272309	0.001007418	0	0	0.000161282	0.001998195	0	0.052987212	0	0.244388355	0	0.000600995	0	0.000387594	0	0.003621118	0	0.003864828	0	0	0	0	0.042609309	0	0.000290322	0.000245819	0	0.003066674	0.100463627	0	0.005170435	0.007259523	0	0	0.036332675	0	0.000437849	0.000315996	0.000210026	0	0	0.00128968	0.002507807	0.00391695	0.019773982	0.001274715	0.093599851	0	0	0	0.000134061	0	0.000900841	0	0.02536091	0.001668817	0	0.002246533	0	0.01149638	0	0.000747079	0.017480219	0	0	0.000337828	0	0.000119474	0.062208926	0	0.000207575	0	0.050031468	0	0.000116239	0	0	0.00013453	0.000521671	0	0.000175485	0.00010844	0.002743811	0.000836957	0.059573089	0	0	0.034809079	0.022673274	0	0.000986062	0	0.000184509	0	0.000377128	0	0.000431105	0	0.002895805	0.001637244	0	0	0.000117188	0
Underarm_16_2B	0.000857274	0	0	0.002196425	0	0	0	0	0	0.001598053	0	0	0.00018772	0	0	0.000429816	0	0	0	0.02283692	0.001378658	0	0	0	0.002729698	0	0.000210627	0.000562287	0.002472661	0	0	0.003199141	0	0	0.000106788	0.000686458	0	0	0	0	0	0.000104418	0.000123982	0.000662586	0	0.000211495	0.001717941	0.739490759	0	0.000942217	0	0	0	0.00093187	0	0.001445801	0	0	0	0	0.003204573	0	0	0.001673711	0	0	0.033969884	0	0.001886384	0	0	0	0.008190048	0	0.000249304	0	0.000196567	0	0	0.000173792	0	0.001673778	0.00608258	0	0.022667751	0	0	0	0	0	0	0	0.003306934	0	0	0.00170131	0	0.002648245	0	0	0	0	0	0	0	0	0.026270701	0	0.000293148	0	0.000567174	0	0	0	0	0	0	0	0	0	0	0	0.008319283	0	0	0.091119416	0	0	0.00030728	0	0.000414544	0	0	0	0	0	0	0	0	0	0	0
Underarm_17_2B	0.001071592	0	0	0.001001255	0	0.000427987	0	0	0.000297937	0	0	0	0	0	0	0.000328818	0	0	0	0.066643109	0	0	0	0	0.010454302	0.00011505	0	0	0.002866419	0	0	0.000630446	0	0	0.00041462	0.000831088	0	0	0	0.000412366	0	0	0.000107498	0.001571595	0	0.000484341	0	0.615635518	0	0	0	0	0	0.000516742	0	0.002501082	0	0	0.000198399	0	0.034004468	0	0	0.003344344	0	0	0.061619181	0	0.004711775	0	0	0	0.027441864	0.004244839	0.001511248	0	0.000252202	0	0	0	0	0.002134753	0.006322082	0	0.042229997	0	0	0	0.000279418	0	0	0	0.008834627	0	0	0.000546993	0	0.005894621	0	0	0	0	0	0	0	0	0.037884017	0	0	0	0.000259556	0	0	0	0	0	0	0	0	0	0	0	0.009800792	0	0	0.04163198	0	0	0	0	0	0	0	0.000541078	0	0	0	0	0	0	0	0
Underarm_18_2B	0.000888839	0.000570424	0	0	0	0	0	0.000691074	0	0	0	0.006141828	0	0	0	0	0	0	0	0.000171065	0	0	0	0	0	0	0	0	0.012450347	0	0	0.007468153	0	0	0.000319095	0	0	0	0	0	0	0	0.000125645	0	0	0.011065976	0	0.045415804	0	0	0	0	0	0.000401583	0	0	0	0	0	0	0	0	0	0	0.000329096	0	0.071558064	0	0.002333763	0	0	0	0.576535894	0.003304611	0	0	0.000523128	0	0	0.000675245	0	0.00255839	0.012638714	0	0.066548273	0	0	0	0	0	0	0	0.003524619	0	0	0.000576264	0	0.007869436	0	0	0	0	0	0	0	0	0.044582128	0	0	0	0.002710895	0	0	0	0	0	0	0	0	0	0	0.007538838	0.027377639	0	0	0.081390716	0	0	0	0	0	0	0	0.001550068	0	0	0.000164385	0	0	0	0	0
