SampleID	taxid_196588	taxid_1119528	taxid_378211	taxid_431059	taxid_287	taxid_1773	taxid_562	taxid_1597	taxid_1346290	taxid_2594003	taxid_1255	taxid_492670	taxid_176291	taxid_1309	taxid_1590	taxid_1452508	taxid_1613	taxid_40324	taxid_34062	taxid_103855	taxid_76775	taxid_237258	taxid_1589	taxid_216816	taxid_1254	taxid_1363	taxid_329	taxid_582	taxid_2560861	taxid_1522316	taxid_339	taxid_936548	taxid_980427	taxid_1580	taxid_84753	taxid_470	taxid_316	taxid_1380362	taxid_38303	taxid_2502236	taxid_573	taxid_1249	taxid_1397	taxid_76773	taxid_83655	taxid_1280	taxid_2490857	taxid_43768	taxid_1911570	taxid_2563920	taxid_1078471	taxid_38304	taxid_1834085	taxid_1545044	taxid_1396	taxid_33889	taxid_1275	taxid_28038	taxid_2135499	taxid_38290	taxid_1330255	taxid_2496847	taxid_1358	taxid_1747	taxid_690417	taxid_43769	taxid_195105	taxid_99480	taxid_1523422
Ca_1	0.010677404	0.311556762	0.03311575	0.001474879	0.029205096	0.150933744	0.025591287	0.254508709	0.004098729	0.030877201	0	0	0	0	0	0.008002784	0	0.007178878	0.032061938	0	0.005397442	0	0	0	0	0	0	0	0	0.001605979	0.005471469	0	0	0	0	0	0.018488797	0.006529948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001076317	0	0	0	0	0	0	0	0.020054729	0	0	0.004461081	0	0	0	0
Ca_10	0.002594836	0.138948789	0.017974422	0	0.014049016	0.606107093	0.021238375	0.057431781	0.003342476	0.026092781	0	0	0	0	0	0	0	0	0.020656099	0.00344693	0.004189823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014757111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047197579	0	0	0	0	0
Ca_11	0.006258264	0.409769085	0.047248271	0.000987195	0.039289184	0.22866425	0	0.067225004	0.008739625	0.0329432	0	0	0	0	0	0.010948864	0	0.002865735	0.008295944	0.002265604	0.000801144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023263424	0	0	0	0	0	0	0.000488885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023134456	0	0.02842701	0	0	0	0	0
Ca_12	0.000179929	0.015455679	0.001346742	0	0.002385646	0.104230397	0	0.015221211	0.000318149	0.001254887	0	0	0	0	0	0	0	0.000781003	0.001395368	0.000392265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003840646	0	0	0	0	0	0	0	0.00011609	0	0	0	0.003626118	0	0	0.000806222	0	0	0	0	0	0	0	0	0	0	0	0	0.006883038	0	0	0	0	0
Ca_13	0.00453535	0.343013174	0.042346615	0	0.019739932	0.10619507	0.004255041	0.108759065	0.001714909	0.03020462	0	0	0	0	0	0.026190405	0	0.003172519	0.006047915	0	0.006435317	0	0	0	0	0	0	0	0	0.000795193	0	0	0	0	0	0.005535119	0.016104509	0	0	0	0	0	0	0.001573224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ca_14	0.008617195	0.155308994	0.019437258	0	0.013365513	0.427057358	0.019259949	0.071186691	0.003026325	0.016806336	0	0	0	0	0	0	0	0.004496851	0.017723309	0.007804122	0.006853619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01996159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001952901	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0059334	0	0	0	0
Ca_15	0.001786891	0.083612515	0.007071754	0.000410197	0.005444901	0.783231553	0.004901533	0.019956433	0.00229436	0.00696417	0	0	0	0	0	0	0	0.000817497	0.006640448	0.002942698	0.000749911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004792099	0	0	0	0	0	0	0.000508831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000848587	0	0	0	0
Ca_2	0.00012833	0.003406263	0.00039068	0	0.000222587	0.019632272	0.01768625	0.807695887	0	0.000516099	0	0	0	0.0141306	0	0	0.032912582	0.00046877	0.000639177	8.56819E-05	3.5322E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	3.97042E-05	0.008123743	0.000127333	0	0	0	0.001475654	0	0	0	0	0.028992737	0	0	0.002756968	0	0	0	0	0.000154783	0	0	0	0.001796689	0	0	0	0	0.001547977	0	0.002017949	0	0.000231052	0	0
Ca_3	0.000238405	0.006814681	0.001137013	0	0.000458074	0.003495596	0.020880697	0.898389046	0	0.000687914	0.000918304	0	0	0.01623368	0	0	0.036166318	0.000364421	0.006581943	0	1.97726E-05	0	0	0	0	0	0	0	0	5.35014E-05	0	0.000235791	0	0	0	0.00144017	0.000341045	0	0	0	0	0	0	0	0	0	0	0	0	2.60273E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.001064267	0	0	0	7.81965E-05	0	0
Ca_4	0.000222616	0.010514602	0.001194811	0.00010784	0.001134898	0.01045848	0.034782715	0.273245456	0.000115859	0.001302893	0	0	0	0.024268776	0	0.000487798	0.056843438	0.005537899	0.005445252	0	0.000223757	0	0	0.000205902	0	0	0	0	0	0	7.92605E-05	0.00023521	0	0.002112165	2.88094E-05	0.013397067	0.000553695	0	0	0	0.008375866	0.002741781	0	0	0	0.047348059	0	0	0.000948464	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025208919	0	0	0	0	0	0
