SampleID	xa	ya	spp	type
S01	0.5	1.947654023	Shannon	shotgun
S01	0.5	2.03263833	Shannon	shotgun
S01	0.5	2.000725094	Shannon	shotgun
S06	0.5	2.522199901	Shannon	shotgun
S06	0.5	2.427130059	Shannon	shotgun
S06	0.5	2.487474425	Shannon	shotgun
S07	0.5	3.111772648	Shannon	shotgun
S07	0.5	3.188718914	Shannon	shotgun
S07	0.5	3.245101518	Shannon	shotgun
S01	1	1.89954234	Shannon	shotgun
S01	1	1.974317537	Shannon	shotgun
S01	1	2.017062487	Shannon	shotgun
S06	1	2.374414679	Shannon	shotgun
S06	1	2.312753555	Shannon	shotgun
S06	1	2.493550475	Shannon	shotgun
S07	1	3.289765179	Shannon	shotgun
S07	1	3.267194802	Shannon	shotgun
S07	1	3.258089319	Shannon	shotgun
S01	10	1.988230417	Shannon	shotgun
S01	10	1.967914058	Shannon	shotgun
S01	10	2.004605875	Shannon	shotgun
S06	10	2.452159844	Shannon	shotgun
S06	10	2.461609479	Shannon	shotgun
S06	10	2.436515724	Shannon	shotgun
S07	10	3.302643559	Shannon	shotgun
S07	10	3.363455266	Shannon	shotgun
S07	10	3.35219464	Shannon	shotgun
S01	20	2.002013919	Shannon	shotgun
S01	20	2.051069303	Shannon	shotgun
S01	20	1.99183979	Shannon	shotgun
S06	20	2.492389565	Shannon	shotgun
S06	20	2.523342452	Shannon	shotgun
S06	20	2.463285116	Shannon	shotgun
S07	20	3.347604973	Shannon	shotgun
S07	20	3.335000947	Shannon	shotgun
S07	20	3.351709275	Shannon	shotgun
S01	30	2.025997179	Shannon	shotgun
S01	30	2.040615861	Shannon	shotgun
S01	30	2.05998517	Shannon	shotgun
S06	30	2.483822809	Shannon	shotgun
S06	30	2.513537143	Shannon	shotgun
S06	30	2.473281945	Shannon	shotgun
S07	30	3.288144644	Shannon	shotgun
S07	30	3.302111811	Shannon	shotgun
S07	30	3.295870249	Shannon	shotgun
S01	40	2.081002996	Shannon	shotgun
S01	40	2.016764254	Shannon	shotgun
S01	40	2.040360076	Shannon	shotgun
S06	40	2.5169008	Shannon	shotgun
S06	40	2.481498694	Shannon	shotgun
S06	40	2.497944725	Shannon	shotgun
S07	40	3.281715641	Shannon	shotgun
S07	40	3.295253671	Shannon	shotgun
S07	40	3.291342508	Shannon	shotgun
S01	50	2.026442071	Shannon	shotgun
S01	50	2.041926113	Shannon	shotgun
S01	50	2.084822165	Shannon	shotgun
S06	50	2.482487419	Shannon	shotgun
S06	50	2.509985955	Shannon	shotgun
S06	50	2.511522523	Shannon	shotgun
S07	50	3.285714218	Shannon	shotgun
S07	50	3.290576993	Shannon	shotgun
S07	50	3.291261279	Shannon	shotgun
S01	100	2.044507482	Shannon	shotgun
S01	100	2.064012208	Shannon	shotgun
S01	100	2.057046275	Shannon	shotgun
S06	100	2.525739871	Shannon	shotgun
S06	100	2.523515668	Shannon	shotgun
S06	100	2.53566064	Shannon	shotgun
S07	100	3.29539925	Shannon	shotgun
S07	100	3.311237858	Shannon	shotgun
S07	100	3.298812118	Shannon	shotgun
S01	200	2.077635026	Shannon	shotgun
S01	200	2.080650248	Shannon	shotgun
S01	200	2.082549635	Shannon	shotgun
S06	200	2.554891618	Shannon	shotgun
S06	200	2.565818906	Shannon	shotgun
S06	200	2.58567607	Shannon	shotgun
S07	200	3.317965178	Shannon	shotgun
S07	200	3.314539848	Shannon	shotgun
S07	200	3.314951248	Shannon	shotgun
S01	417.68	2.087345567	Shannon	shotgun
S06	443.49	2.621231751	Shannon	shotgun
S07	451.49	3.323128778	Shannon	shotgun
S01	0.5	45	Spp	shotgun
S01	0.5	47	Spp	shotgun
S01	0.5	46	Spp	shotgun
S06	0.5	52	Spp	shotgun
S06	0.5	58	Spp	shotgun
S06	0.5	58	Spp	shotgun
S07	0.5	62	Spp	shotgun
S07	0.5	68	Spp	shotgun
S07	0.5	64	Spp	shotgun
S01	1	62	Spp	shotgun
S01	1	62	Spp	shotgun
S01	1	64	Spp	shotgun
S06	1	67	Spp	shotgun
S06	1	63	Spp	shotgun
S06	1	70	Spp	shotgun
S07	1	81	Spp	shotgun
S07	1	84	Spp	shotgun
S07	1	83	Spp	shotgun
S01	10	145	Spp	shotgun
S01	10	136	Spp	shotgun
S01	10	146	Spp	shotgun
S06	10	139	Spp	shotgun
S06	10	132	Spp	shotgun
S06	10	136	Spp	shotgun
S07	10	153	Spp	shotgun
S07	10	161	Spp	shotgun
S07	10	159	Spp	shotgun
S01	20	169	Spp	shotgun
S01	20	164	Spp	shotgun
S01	20	165	Spp	shotgun
S06	20	164	Spp	shotgun
S06	20	160	Spp	shotgun
S06	20	162	Spp	shotgun
S07	20	183	Spp	shotgun
S07	20	185	Spp	shotgun
S07	20	180	Spp	shotgun
S01	30	166	Spp	shotgun
S01	30	165	Spp	shotgun
S01	30	165	Spp	shotgun
S06	30	172	Spp	shotgun
S06	30	159	Spp	shotgun
S06	30	170	Spp	shotgun
S07	30	184	Spp	shotgun
S07	30	186	Spp	shotgun
S07	30	182	Spp	shotgun
S01	40	178	Spp	shotgun
S01	40	175	Spp	shotgun
S01	40	175	Spp	shotgun
S06	40	179	Spp	shotgun
S06	40	177	Spp	shotgun
S06	40	188	Spp	shotgun
S07	40	184	Spp	shotgun
S07	40	194	Spp	shotgun
S07	40	191	Spp	shotgun
S01	50	180	Spp	shotgun
S01	50	183	Spp	shotgun
S01	50	184	Spp	shotgun
S06	50	182	Spp	shotgun
S06	50	188	Spp	shotgun
S06	50	185	Spp	shotgun
S07	50	197	Spp	shotgun
S07	50	190	Spp	shotgun
S07	50	194	Spp	shotgun
S01	100	202	Spp	shotgun
S01	100	202	Spp	shotgun
S01	100	205	Spp	shotgun
S06	100	215	Spp	shotgun
S06	100	213	Spp	shotgun
S06	100	218	Spp	shotgun
S07	100	217	Spp	shotgun
S07	100	215	Spp	shotgun
S07	100	215	Spp	shotgun
S01	200	223	Spp	shotgun
