SampleID	xa	ya	spp	type
SMM-2-3	0.5	0.9738798	Sim	Home
SMM-2-3	0.5	0.9798625	Sim	Home
SMM-2-3	0.5	0.9777623	Sim	Home
SMM-2-3	1	0.9852985	Sim	Home
SMM-2-3	1	0.9735761	Sim	Home
SMM-2-3	1	0.9846036	Sim	Home
SMM-2-3	2	0.99165277	Sim	Home
SMM-2-3	2	0.9872851	Sim	Home
SMM-2-3	2	0.9851444	Sim	Home
SMM-2-3	3	0.9888542	Sim	Home
SMM-2-3	3	0.9894227	Sim	Home
SMM-2-3	3	0.99328898	Sim	Home
SMM-2-3	4	0.9887167	Sim	Home
SMM-2-3	4	0.9884204	Sim	Home
SMM-2-3	4	0.99477438	Sim	Home
SMM-2-3	5	0.99590087	Sim	Home
SMM-2-3	5	0.9923189	Sim	Home
SMM-2-3	5	0.99328983	Sim	Home
SMM-2-3	6	0.99448282	Sim	Home
SMM-2-3	6	0.99391415	Sim	Home
SMM-2-3	6	0.99525821	Sim	Home
SMM-2-3	7	0.99352802	Sim	Home
SMM-2-3	7	0.99419627	Sim	Home
SMM-2-3	7	0.99159886	Sim	Home
WJM-I	0.5	0.9787452	Sim	Home
WJM-I	0.5	0.9714066	Sim	Home
WJM-I	0.5	0.9688573	Sim	Home
WJM-I	1	0.9875497	Sim	Home
WJM-I	1	0.9863907	Sim	Home
WJM-I	1	0.988153	Sim	Home
WJM-I	2	0.9863215	Sim	Home
WJM-I	2	0.9801921	Sim	Home
WJM-I	2	0.9897075	Sim	Home
WJM-I	3	0.9788145	Sim	Home
WJM-I	3	0.9915102	Sim	Home
WJM-I	3	0.9865309	Sim	Home
WJM-I	4	0.99226857	Sim	Home
WJM-I	4	0.9796891	Sim	Home
WJM-I	4	0.9884709	Sim	Home
WJM-I	5	0.99058714	Sim	Home
WJM-I	5	0.9779561	Sim	Home
WJM-I	5	0.9929566	Sim	Home
WJM-I	6	0.9871771	Sim	Home
WJM-I	6	0.99080285	Sim	Home
WJM-I	6	0.99127423	Sim	Home
WJM-I	7	0.99145096	Sim	Home
WJM-I	7	0.99244942	Sim	Home
WJM-I	7	0.9880496	Sim	Home
WX-9	0.5	0.972788	Sim	Home
WX-9	0.5	0.9777756	Sim	Home
WX-9	0.5	0.9717892	Sim	Home
WX-9	1	0.9835575	Sim	Home
WX-9	1	0.99127781	Sim	Home
WX-9	1	0.9879922	Sim	Home
WX-9	2	0.9830337	Sim	Home
WX-9	2	0.9840005	Sim	Home
WX-9	2	0.9853737	Sim	Home
WX-9	3	0.9854445	Sim	Home
WX-9	3	0.9856579	Sim	Home
WX-9	3	0.99533501	Sim	Home
WX-9	4	0.99551105	Sim	Home
WX-9	4	0.9865875	Sim	Home
WX-9	4	0.9859002	Sim	Home
WX-9	5	0.99610682	Sim	Home
WX-9	5	0.9868834	Sim	Home
WX-9	5	0.9865484	Sim	Home
WX-9	6	0.9867661	Sim	Home
WX-9	6	0.9874043	Sim	Home
WX-9	6	0.9879306	Sim	Home
WX-9	7	0.99773749	Sim	Home
WX-9	7	0.9867165	Sim	Home
WX-9	7	0.9853435	Sim	Home
SMM-2-3	0.5	224	Spp	Home
SMM-2-3	0.5	229	Spp	Home
SMM-2-3	0.5	230	Spp	Home
SMM-2-3	1	289	Spp	Home
SMM-2-3	1	285	Spp	Home
SMM-2-3	1	293	Spp	Home
SMM-2-3	2	368	Spp	Home
SMM-2-3	2	371	Spp	Home
SMM-2-3	2	366	Spp	Home
SMM-2-3	3	396	Spp	Home
SMM-2-3	3	394	Spp	Home
SMM-2-3	3	406	Spp	Home
SMM-2-3	4	413	Spp	Home
SMM-2-3	4	410	Spp	Home
SMM-2-3	4	417	Spp	Home
SMM-2-3	5	424	Spp	Home
SMM-2-3	5	418	Spp	Home
SMM-2-3	5	425	Spp	Home
SMM-2-3	6	430	Spp	Home
SMM-2-3	6	422	Spp	Home
SMM-2-3	6	432	Spp	Home
SMM-2-3	7	439	Spp	Home
SMM-2-3	7	442	Spp	Home
SMM-2-3	7	435	Spp	Home
WJM-I	0.5	332	Spp	Home
WJM-I	0.5	329	Spp	Home
WJM-I	0.5	329	Spp	Home
WJM-I	1	413	Spp	Home
WJM-I	1	418	Spp	Home
WJM-I	1	420	Spp	Home
WJM-I	2	451	Spp	Home
WJM-I	2	453	Spp	Home
WJM-I	2	454	Spp	Home
WJM-I	3	466	Spp	Home
WJM-I	3	466	Spp	Home
WJM-I	3	466	Spp	Home
WJM-I	4	473	Spp	Home
WJM-I	4	475	Spp	Home
WJM-I	4	478	Spp	Home
WJM-I	5	482	Spp	Home
WJM-I	5	480	Spp	Home
WJM-I	5	482	Spp	Home
WJM-I	6	497	Spp	Home
WJM-I	6	490	Spp	Home
WJM-I	6	491	Spp	Home
WJM-I	7	500	Spp	Home
WJM-I	7	507	Spp	Home
WJM-I	7	505	Spp	Home
WX-9	0.5	119	Spp	Home
WX-9	0.5	120	Spp	Home
WX-9	0.5	120	Spp	Home
WX-9	1	175	Spp	Home
WX-9	1	175	Spp	Home
WX-9	1	170	Spp	Home
WX-9	2	263	Spp	Home
WX-9	2	252	Spp	Home
WX-9	2	258	Spp	Home
WX-9	3	316	Spp	Home
WX-9	3	316	Spp	Home
WX-9	3	308	Spp	Home
WX-9	4	344	Spp	Home
WX-9	4	347	Spp	Home
WX-9	4	350	Spp	Home
WX-9	5	388	Spp	Home
WX-9	5	374	Spp	Home
WX-9	5	384	Spp	Home
WX-9	6	409	Spp	Home
WX-9	6	403	Spp	Home
WX-9	6	413	Spp	Home
WX-9	7	428	Spp	Home
WX-9	7	419	Spp	Home
WX-9	7	434	Spp	Home
SMM-2-3	0.5	3.571193403	Shannon	Home
SMM-2-3	0.5	3.637766607	Shannon	Home
SMM-2-3	0.5	3.598615371	Shannon	Home
SMM-2-3	1	3.663709494	Shannon	Home
SMM-2-3	1	3.619006482	Shannon	Home
SMM-2-3	1	3.728510893	Shannon	Home
SMM-2-3	2	3.745622314	Shannon	Home
SMM-2-3	2	3.759922283	Shannon	Home
SMM-2-3	2	3.783909993	Shannon	Home
SMM-2-3	3	3.763896267	Shannon	Home
SMM-2-3	3	3.760167415	Shannon	Home
SMM-2-3	3	3.748506435	Shannon	Home
