SampleID	xa	ya	spp	type
cancer_61_2	0.5	0.971117	BC	cancer
cancer_61_2	0.5	0.9856696	BC	cancer
cancer_61_2	0.5	0.9477493	BC	cancer
cancer_61_2	1	0.9878473	BC	cancer
cancer_61_2	1	0.9884761	BC	cancer
cancer_61_2	1	0.9873727	BC	cancer
cancer_61_2	2	0.9892633	BC	cancer
cancer_61_2	2	0.9895526	BC	cancer
cancer_61_2	2	0.9870741	BC	cancer
cancer_61_2	3	0.99372934	BC	cancer
cancer_61_2	3	0.99149556	BC	cancer
cancer_61_2	3	0.99572389	BC	cancer
cancer_61_2	4	0.99063729	BC	cancer
cancer_61_2	4	0.99400702	BC	cancer
cancer_61_2	4	0.99070559	BC	cancer
cancer_61_2	5	0.99289071	BC	cancer
cancer_61_2	5	0.99505879	BC	cancer
cancer_61_2	5	0.99331777	BC	cancer
cancer_61_2	6	0.99536762	BC	cancer
cancer_61_2	6	0.99621571	BC	cancer
cancer_61_2	6	0.99641871	BC	cancer
cancer_61_2	0.5	0.9503639	JSD	cancer
cancer_61_2	0.5	0.9534676	JSD	cancer
cancer_61_2	0.5	0.874391	JSD	cancer
cancer_61_2	1	0.9637614	JSD	cancer
cancer_61_2	1	0.9664777	JSD	cancer
cancer_61_2	1	0.9634988	JSD	cancer
cancer_61_2	2	0.9736929	JSD	cancer
cancer_61_2	2	0.9763058	JSD	cancer
cancer_61_2	2	0.9706605	JSD	cancer
cancer_61_2	3	0.9834252	JSD	cancer
cancer_61_2	3	0.9852325	JSD	cancer
cancer_61_2	3	0.99003726	JSD	cancer
cancer_61_2	4	0.9804789	JSD	cancer
cancer_61_2	4	0.9889541	JSD	cancer
cancer_61_2	4	0.9818049	JSD	cancer
cancer_61_2	5	0.9809682	JSD	cancer
cancer_61_2	5	0.99108672	JSD	cancer
cancer_61_2	5	0.9852594	JSD	cancer
cancer_61_2	6	0.9885991	JSD	cancer
cancer_61_2	6	0.9856156	JSD	cancer
cancer_61_2	6	0.99201624	JSD	cancer
cancer_61_3	0.5	0.9678606	BC	cancer
cancer_61_3	0.5	0.9721698	BC	cancer
cancer_61_3	0.5	0.964447	BC	cancer
cancer_61_3	1	0.9839289	BC	cancer
cancer_61_3	1	0.9876305	BC	cancer
cancer_61_3	1	0.9848732	BC	cancer
cancer_61_3	2	0.9881751	BC	cancer
cancer_61_3	2	0.9880871	BC	cancer
cancer_61_3	2	0.9913822	BC	cancer
